1,スマホのようなもの,冒険のヒント等を見る事ができる。
【サイズ:1×2】
360,エレクトロハッチ,素人が触ったら感電しそうな制御装置。
【サイズ:1×2】
361,ライトニングモニター,最先端技術で作られた大型モニター。
【サイズ:3×2】
362,サイバーコンソール,最新技術で作られたハイスペックコンピューター。
【サイズ:1×2】【Twitter接続】
363,タワーアンテナ,電波を受信するためのタワー型アンテナ。
【サイズ:1×3】
364,リペアマシン,最新技術で作られた治癒装置。
【サイズ:1×2】
365,モノクロムパネル,モノクロカラーがカッコいいウォールパネル。
【サイズ:2×2】
366,ダイニングラック,生活感のある居間を演出する小型収納家具。
【サイズ:2×2】
367,ダイニングラックB,生活感のある居間を演出する小型収納家具。
【サイズ:2×2】
368,ダイニングシェルフ,生活感のある居間を演出する収納家具。
【サイズ:2×2】
369,ダイニングシェルフB,生活感のある居間を演出する収納家具。
【サイズ:2×2】
370,ダイニングボード,生活感のある居間を演出する大型収納家具。
【サイズ:2×2】
371,ダイニングボードB,生活感のある居間を演出する大型収納家具。
【サイズ:2×2】
372,,
373,ブラウンミニラック,温かみのある天然木を使用した小型収納家具。
【サイズ:1×2】
374,ブラウンミニラックB,温かみのある天然木を使用した小型収納家具。
【サイズ:1×2】
375,ブラウンラックA,温かみのある天然木を使用した収納家具。
【サイズ:1×2】
376,ブラウンラックB,温かみのある天然木を使用した収納家具。
【サイズ:1×2】
377,ブラウンボード,温かみのある天然木を使用した収納家具。
【サイズ:2×2】
378,ブラウンラージチェスト,温かみのある天然木を使用した大型収納家具。
【サイズ:2×2】
379,ブラウンラージシェルフA,温かみのある天然木を使用した大型本棚。
【サイズ:2×2】
380,ブラウンラージシェルフB,温かみのある天然木を使用した大型本棚。
【サイズ:2×2】
381,,
382,フワンソーワソファ,フワンソーワ学院特注のソファ。
【サイズ:2×1】【向き変更可】
383,フワンソーワテーブル,フワンソーワ学院特注のテーブル。
【サイズ:2×1】【向き変更可】
384,フワンソーワシェルフ,フワンソーワ学院特注の収納家具。
【サイズ:2×2】
385,フワンソーワウィンドウ,フワンソーワ学院特注の窓。
【サイズ:1×2】
386,,
387,アカデミーデスク,フワンソーワ学院特注の机。
【サイズ:3×2】
388,アカデミークロック,フワンソーワ学院特注の振り子時計。
【サイズ:1×2】
389,アカデミーキャンドル,フワンソーワ学院特注の燭台。
【サイズ:1×2】
390,アカデミーシェルフ,フワンソーワ学院特注の本棚。
【サイズ:1×2】
391,アカデミーライブラリ,フワンソーワ学院特注の大型本棚。
【サイズ:4×4】
392,アカデミーシェーマ,フワンソーワ学院特注の壁掛図式。
【サイズ:2×2】
393,アカデミーストーブ,フワンソーワ学院特注の暖房器具。
【サイズ:2×2】
394,,
395,バースツール,空間的な魅力を象徴する酒屋の丸椅子。
【サイズ:1×1】
396,バックバー,空間的な魅力を象徴する酒屋の後ろ棚。
【サイズ:2×2】
397,バーシェルフ,マスター、いつもの
【サイズ:2×2】
398,バーシェルフL,マスター、いつもの
【サイズ:1×2】
399,バーシェルフR,マスター、いつもの
【サイズ:1×2】
400,ウォールバーシェルフ,壁に設置するバックバー。
【サイズ:2×1】
401,カウンターキャンドル,カウンターに温かみを与える蝋燭。
【サイズ:1×1】
402,,
403,バーカウンター,カウンター用にデザインされたデスク。
【サイズ:1×1】
404,ハウスバー,設置するだけでお洒落なバーが完成する。
【サイズ:3×4】
405,レトロレコーダー,シックな旧式音響機器。
【サイズ:1×1】【BGM再生可】
406,バゲージ,無造作に積まれた荷物。
【サイズ:1×2】
407,バゲージB,無造作に積まれた荷物。
【サイズ:1×2】
408,バゲージC,無造作に積まれた荷物。
【サイズ:1×2】
409,たる,たる
【サイズ:1×1】
410,たるB,たる
【サイズ:1×1】
411,つぼ,つぼ
【サイズ:1×1】
412,ワイルドボックス,船内用の収納箱。
【サイズ:1×1】
413,ワイルドボックスB,船内用の収納箱。
【サイズ:1×1】
414,ライフボックス,木製の箱。シンプルで扱いやすい収納家具。
【サイズ:1×1】
415,ライフボックスB,木製の箱。シンプルで扱いやすい収納家具。
【サイズ:1×1】
416,ライフボックスC,木製の箱。シンプルで扱いやすい収納家具。
【サイズ:1×1】
417,ライフボックスD,木製の箱。シンプルで扱いやすい収納家具。
【サイズ:1×1】
418,ライフバスケット,手作りのカゴ。シンプルで扱いやすい収納家具。
【サイズ:1×1】
419,ライフバスケットB,手作りのカゴ。シンプルで扱いやすい収納家具。
【サイズ:1×1】
420,ライフバスケットC,手作りのカゴ。シンプルで扱いやすい収納家具。
【サイズ:1×1】
421,カラーポーション,メルヘンな劇薬。4種類のカラーバリエーションがある。
【サイズ:1×1】
422,カラーポーションB,メルヘンな劇薬。4種類のカラーバリエーションがある。
【サイズ:1×1】
423,カラーポーションC,メルヘンな劇薬。4種類のカラーバリエーションがある。
【サイズ:1×1】
424,カラーポーションD,メルヘンな劇薬。4種類のカラーバリエーションがある。
【サイズ:1×1】
425,ライフタオル,タオル地の布で作られた手ぬぐい。
【サイズ:1×1】
426,ハードブレッド,食べさせる気が無いかのような強度を誇るパン。
【サイズ:1×2】
427,レトロブラシ,自然素材で作られた旧式掃除用具。
【サイズ:1×2】
428,ウォールシェルフ,天然木で作られた壁に飾る収納家具。
【サイズ:2×1】
429,ウォールシェルフB,天然木で作られた壁に飾る収納家具。
【サイズ:2×1】
430,ウォールシェルフC,天然木で作られた壁に飾る収納家具。
【サイズ:2×1】
431,ウォールラック,天然木で作られた壁に飾る収納家具。
【サイズ:2×1】
432,ウォールラックB,天然木で作られた壁に飾る収納家具。
【サイズ:2×1】
433,ウォールプラント,部屋を鮮やかに彩る壁掛け観葉植物。
【サイズ:1×1】
434,ウォールプラントB,部屋を鮮やかに彩る壁掛け観葉植物。
【サイズ:1×1】
435,ウォールプラントC,部屋を鮮やかに彩る壁掛け観葉植物。
【サイズ:1×1】
436,上部リビングテーブル,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
437,下部リビングテーブル,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
438,上部リビングテーブルB,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
439,下部リビングテーブルB,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
440,上部リビングテーブルC,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
441,下部リビングテーブルC,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
442,上部リビングテーブルD,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
443,下部リビングテーブルD,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
444,上部リビングテーブルE,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
445,下部リビングテーブルE,大きなテーブル。2パーツ構成の組み立て式。
【サイズ:2×1】【タイプ変更可】
446,テーブルクロス,大きなテーブルや横長のデスクにも対応したクロス。
【サイズ:2×1】【タイプ変更可】
447,テーブルクロスB,大きなテーブルや横長のデスクにも対応したクロス。
【サイズ:2×1】【タイプ変更可】
448,テーブルクロスC,大きなテーブルや横長のデスクにも対応したクロス。
【サイズ:2×1】【タイプ変更可】
449,テーブルクロスD,大きなテーブルや横長のデスクにも対応したクロス。
【サイズ:2×1】【タイプ変更可】
450,テーブルクロスE,大きなテーブルや横長のデスクにも対応したクロス。
【サイズ:2×1】【タイプ変更可】
451,,
452,グリモワルライン,大量の魔導書。全て覚えていますよね？
【サイズ:2×1】【向き変更可】
453,グリモワルタワー,大量の魔導書。全て覚えていますよね？
【サイズ:1×3】
454,グリモワルウォール,大量の魔導書。全て覚えていますよね？
【サイズ:2×2】
455,グリモワルマウンテン,大量の魔導書。全て覚えていますよね？
【サイズ:2×3】
456,アルケムケトル,錬金術士が用いる謎の大釜。
【サイズ:3×3】
457,ドレッサー,シンプルで使いやすいドレッサー。
【サイズ:1×2】
458,スタンドミラー,シンプルで使いやすい鏡。
【サイズ:1×2】
459,フロアスタンド,シンプルで使いやすいスタンドライト。
【サイズ:1×2】
460,フロアキャンドル,シンプルで使いやすい燭台。
【サイズ:1×2】
461,レトロキャンドル,シンプルで使いやすい燭台。
【サイズ:1×2】
462,デスクランプ,シンプルで使いやすいテーブルライト。
【サイズ:1×1】
463,フラスコランプ,フラスコの中で炎が揺らぐお洒落な照明器具。
【サイズ:1×1】
464,ポールハンガー,シャープなシルエットがカッコいい洋服掛け。
【サイズ:1×2】
465,ウッドパーテーション,木製の落ち着いた色合いの間仕切り。
【サイズ:1×2】【タイプ変更可】
466,ワインラック,ワイン好きの為のワイン専用収納ラック。
【サイズ:1×1】
467,セーフティーボックス,ダイヤモンドよりも硬い金庫。
【サイズ:1×1】
468,ライターライブラリ,物書きの机を演出できる本と紙の山。
【サイズ:2×1】
469,アルケミストツール,錬金術師の机を演出できる器具と資料の山。
【サイズ:2×1】
470,チャートデスク,船内で使用される航海図と机のセット。
【サイズ:3×2】
471,,
472,ビルダーチェスト,職人用の道具が収納された大型収納家具。
【サイズ:3×2】
473,ビルダーチェストB,職人用の道具が収納された大型収納家具。
【サイズ:3×2】
474,ビルダーチェストC,職人用の道具が収納された大型収納家具。
【サイズ:3×2】
475,ビルダーチェストD,職人用の道具が収納された大型収納家具。
【サイズ:3×2】
476,,
477,リフレスプラント,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
478,リフレスプラントB,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
479,リフレスプラントC,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
480,リフレスプラントD,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
481,リフレスプラントE,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
482,リフレスプラントF,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
483,リフレスプラントG,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
484,リフレスプラントH,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
485,リフレスプラントI,お洒落な部屋作りには欠かせない観葉植物。
【サイズ:1×2】
486,,
487,バリエーションベッド,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
488,バリエーションベッドB,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
489,バリエーションベッドC,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
490,バリエーションベッドD,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
491,バリエーションベッドE,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
492,バリエーションベッドF,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
493,バリエーションベッドG,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
494,バリエーションベッドH,低反発クッションが好評の高級ベッド。種類が豊富。
【サイズ:1×2】
495,パッツァ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
496,チキングリル,食卓を彩る美味しい食べ物。
【サイズ:1×1】
497,アマズダンゴ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
498,フルーツバスケット,食卓を彩る美味しい食べ物。
【サイズ:1×1】
499,豚の丸焼き,食卓を彩る美味しい食べ物。
【サイズ:1×1】
500,ホールケーキ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
501,ピッツァ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
502,ムニエル,食卓を彩る美味しい食べ物。
【サイズ:1×1】
503,アップルパイ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
504,ピラフ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
505,ラーメン,食卓を彩る美味しい食べ物。
【サイズ:1×1】
506,オ・ナーベ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
507,オ・スーシ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
508,ブ・レッド,食卓を彩る美味しい食べ物。
【サイズ:1×1】
509,ス・テーキ,食卓を彩る美味しい食べ物。
【サイズ:1×1】
510,,
511,カーテンレール,ダブルカーテン用のカーテンレール。
【サイズ:1×2】
512,ダブルカーテン,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
513,ダブルカーテンB,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
514,ダブルカーテンC,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
515,ダブルカーテンD,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
516,ダブルカーテンE,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
517,ダブルカーテンF,種類が豊富な美しい装飾のカーテン。
【サイズ:1×2】【タイプ変更可】
518,,
519,パレスピラー,厳かな造りの芸術的な柱。
【サイズ:1×2】
520,パレスピラーB,厳かな造りの芸術的な柱。
【サイズ:1×2】
521,パレスピラーC,厳かな造りの芸術的な柱。
【サイズ:1×2】
522,パレスピラーD,厳かな造りの芸術的な柱。
【サイズ:1×2】
523,パレスピラーE,厳かな造りの芸術的な柱。
【サイズ:1×2】
524,,
525,クラフティングシェルフ,匠人の仕事道具が並ぶ収納家具。
【サイズ:2×2】
526,クラフティングボード,匠人の作品を見る事が出来る掲示板。
【サイズ:2×2】【Twitter接続】
527,クラフティングボックス,匠人の仕事道具が詰め込まれた木箱。
【サイズ:1×2】
528,クラフティングボックスB,匠人の仕事道具が詰め込まれた木箱。
【サイズ:1×2】
529,クラフティングクレーン,匠人の仕事に使用されるクレーン。
【サイズ:1×2】
530,,
531,ザブトン,昔ながらの民芸調デザインのクッションマット。
【サイズ:1×1】
532,ザブトンB,昔ながらの民芸調デザインのクッションマット。
【サイズ:1×1】
533,キリダンス,昔ながらの民芸調デザインのタンス。
【サイズ:2×1】
534,カケジク,昔ながらの民芸調デザインの掛軸。
【サイズ:2×1】
535,カケジクB,昔ながらの民芸調デザインの掛軸。
【サイズ:2×1】
536,ブツダン,昔ながらの民芸調デザインの仏壇。
【サイズ:2×3】
537,オフトン,昔ながらの民芸調デザインの寝具。
【サイズ:1×2】
538,イロリ,昔ながらの民芸調デザインの調理器具。
【サイズ:3×3】
539,イロリカギ,昔ながらの民芸調デザインの調理器具。
【サイズ1×3】
540,ビョウブ,昔ながらの民芸調デザインの間仕切り。
【サイズ4×3】
541,ビョウブB,昔ながらの民芸調デザインの間仕切り。
【サイズ4×3】
542,フスマ,昔ながらの民芸調デザインの引き戸。
【サイズ1×2】
543,フスマB,昔ながらの民芸調デザインの引き戸。
【サイズ1×2】
544,ショウジ,昔ながらの民芸調デザインの引き戸。
【サイズ1×2】
545,アンドン,昔ながらの民芸調デザインの照明機器。
【サイズ1×1】
546,レトロテレヴィジョン,電波を受信し、映像を出力する旧式の映像器具。
【サイズ1×1】
547,テレヴィジョン,電波を受信し、映像を出力する魔法の映像器具。
【サイズ1×1】
548,ワイド・テレヴィジョン,電波を受信し、映像を出力する魔法の映像器具。
【サイズ2×1】
549,ﾊｲﾊﾟｰ・ﾃﾚｳﾞｨｼﾞｮﾝ,電波を受信し、映像を出力する魔法の映像器具。
【サイズ3×2】
550,セルフウォーター,交換式のタンクから飲料水を供給する機器。
【サイズ1×2】
551,オフィスロッカー,企業等で使用される板金製の収納家具。
【サイズ1×2】
552,ショーカ・マシン,火災を消す為の消防用設備。
【サイズ1×2】
553,マイクロオーブン,電磁波により食品を加熱させる調理器具。
【サイズ1×1】
554,ノートパソコン,最新の軽量PC。どこでもMO4が出来そう。
【サイズ1×1】【向き変更可】【Twitter接続】
555,デスクパソコン,最新のデスクトップ型PC。進捗どうですか？
【サイズ1×1】【Twitter接続】
556,ドローイングデバイス,イラストレーターが使用するタブレット。
【サイズ1×1】
557,ラジオユニット,ラジカセと呼ばれる音響機器。
【サイズ1×1】【BGM再生可】
558,コンパクトスピーカー,音楽をパワフルに響かせる音響機器。
【サイズ1×1】
559,2Wayスピーカー,音楽をパワフルに響かせる音響機器。
【サイズ1×1】
560,モニタースピーカー,作曲者・演奏者が使用する音響機器。
【サイズ1×2】
561,エキサイトスピーカー,フロアを沸かせる超大出力の音響機器。DropBass!!
【サイズ1×3】
562,ネオンライトスピーカー,ブルーのライトがクールな音響機器。
【サイズ1×1】
563,DJブース,フロアを沸かせるDJコントローラー。
【サイズ3×1】【BGM再生可】
564,,
565,アップライトピアノ,垂直に弦やﾊﾝﾏｰが配置された場所をとらない鍵盤楽器。
【サイズ3×2】
566,グランディアピアノ,弦を水平方向に張った大型3脚の鍵盤楽器。
【サイズ3×2】
567,チェロ,西洋音楽で使われる弦楽器の一種。
【サイズ1×2】
568,ハープ,西洋音楽で使われる弦鳴楽器の一種。
【サイズ1×2】
569,ティンパニ,西洋音楽で使われる打楽器の一種。
【サイズ1×2】
570,オーケストスタンド,楽団が演奏に使用する譜面台。
【サイズ1×1】
571,ロックギター,攻撃的な音色を奏でる弦楽器。
【サイズ1×1】
572,ロックベース,ヘビーな重低音を奏でる弦楽器。
【サイズ1×1】
573,ロックマイク,ボーカル用の拡声器。魂が擦り切れるまで唄え！！
【サイズ1×1】
574,ロックドラム,腹の底に響き渡る重低音を奏でる打楽器。
【サイズ3×2】
575,シンセサイザー,サイバーチックなサウンドを奏でる電子鍵盤楽器。
【サイズ3×1】
576,ギターアンプ,楽器から出力された電子信号を増幅する音響機器。
【サイズ1×1】
577,ベースアンプ,楽器から出力された電子信号を増幅する音響機器。
【サイズ1×2】
578,,
579,センタクマシン,衣類を選択するための家電機器。
【サイズ1×1】
580,レイチェスト,食べ物を長持ちさせるために開発された家電機器。
【サイズ1×2】
581,シャワールーム,身も心も洗い流す昔ながらのシャワー。
【サイズ2×2】
582,レトロバスタブ,スチームパンクな旧式のバスタブ。
【サイズ2×1】
583,レトロシンク,スチームパンクな旧式の洗面台。
【サイズ2×1】
584,,
585,クラシックマット,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
586,クラシックマットB,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
587,クラシックマットC,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
588,クラシックマットD,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
589,エレガントマット,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
590,エレガントマットB,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
591,エレガントマットC,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
592,モダンマット,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
593,モダンマットB,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
594,モダンマットC,部屋の雰囲気を引き締めるマット。
【サイズ4×3】
595,オリエントタタミ,かぐわしい自然の香りが和のおもてなし。
【サイズ4×3】
596,デンジャーフロア,危ない雰囲気を醸し出す金網の床。
【サイズ4×3】
597,,
598,ストレンジボンベ,見るからにヤバそうなボンベ。
【サイズ1×1】
599,ストレンジラック,見るからにヤバそうなボンベが詰まったラック。
【サイズ2×1】
600,ストレンジチェア,見るからにヤバそうな実験装置。
【サイズ1×2】
601,ストレンジコンソール,見るからにヤバそうな制御装置。
【サイズ2×1】
602,ストレンジモニター,見るからにヤバそうな表示装置。
【サイズ2×1】
603,ストレンジハッチ,見るからにヤバそうな制御装置。
【サイズ1×1】
604,ストレンジハッチB,見るからにヤバそうな制御装置。
【サイズ1×1】
605,ストレンジデバイス,見るからにヤバそうな制御装置。
【サイズ1×1】
606,ストレンジデバイスB,見るからにヤバそうな制御装置。
【サイズ1×2】
607,ストレンジゲート,見るからにヤバそうな遮断設備。
【サイズ2×2】
608,ストレンジマーカー,見るからにヤバそうな警告マーカー。
【サイズ1×1】
609,ストレンジマーカーB,見るからにヤバそうな警告マーカー。
【サイズ1×1】
610,アレンジアイビー,壁に飾る装飾用の落葉性植物。
【サイズ1×2】
611,アレンジアイビーB,壁に飾る装飾用の落葉性植物。
【サイズ1×2】
612,プラントフラワー,植木に植えられた観賞用の花。
【サイズ1×1】
613,プラントフラワーB,植木に植えられた観賞用の花。
【サイズ1×1】
614,,
615,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
616,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
617,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
618,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞD,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
619,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
620,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
621,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
622,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸD,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
623,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
624,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
625,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
626,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
627,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
628,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
629,ｳｫｰﾙｽｷﾝ・ﾛｲﾔﾙ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
630,ｳｫｰﾙｽｷﾝ・ﾛｲﾔﾙB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
631,ｳｫｰﾙｽｷﾝ・ｽﾄﾚﾝｼﾞ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
632,ｳｫｰﾙｽｷﾝ・ｽﾄﾚﾝｼﾞB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
633,ｳｫｰﾙｽｷﾝ・ｵﾘｴﾝﾄ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
634,ｳｫｰﾙｽｷﾝ・ﾗｲﾌﾞﾗﾘ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
635,,
636,,
637,ギャンブルテーブル,命を懸けた勝負師達の戦場。
【サイズ3×2】
638,ビリヤードテーブル,ビリヤードの台。絶対に飲食物を置いてはいけない。
【サイズ3×2】
639,ルーレットテーブル,カジノの女王とも呼ばれ、回転する円盤を用いたゲーム。
【サイズ3×2】
640,スロッター,コインで動作するギャンブル用ゲーム筐体。
【サイズ1×2】
641,ACゲームマシン,ｱﾐｭｰｽﾞﾒﾝﾄ施設等に設置された業務用ゲーム筐体。
【サイズ1×2】
642,ミニルーレット,小型のインテリア用ルーレット。
【サイズ1×1】
643,ダーツボード,小型のダーツボード。コルク製の為、消耗品。
【サイズ1×1】
644,ジュークボックス,硬貨を投入する事で音楽を再生する自動販売機の一種。
【サイズ1×2】【BGM再生可】
645,,
646,インテリアピクチャ,小型の絵画。部屋のアクセントに
【サイズ1×1】
647,インテリアピクチャB,小型の絵画。部屋のアクセントに
【サイズ1×1】
648,インテリアピクチャC,小型の絵画。部屋のアクセントに
【サイズ1×1】
649,インテリアピクチャD,小型の絵画。部屋のアクセントに
【サイズ1×1】
650,インテリアピクチャE,小型の絵画。部屋のアクセントに
【サイズ1×1】
651,インテリアピクチャF,小型の絵画。部屋のアクセントに
【サイズ1×1】
652,インテリアピクチャG,小型の絵画。部屋のアクセントに
【サイズ1×1】
653,インテリアピクチャH,小型の絵画。部屋のアクセントに
【サイズ1×1】
654,インテリアピクチャI,小型の絵画。部屋のアクセントに
【サイズ2×1】
655,インテリアピクチャJ,小型の絵画。部屋のアクセントに
【サイズ2×1】
656,インテリアピクチャK,小型の絵画。部屋のアクセントに
【サイズ2×1】
657,ホモビ型ロボットの名画,ホモビ型ロボットが描かれた大きな絵画。
【サイズ3×3】
658,,
659,アーティストラグ,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:さんのた
660,アーティストラグB,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:シバシ
661,アーティストラグC,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:そめちめ
662,アーティストラグD,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:sema
663,アーティストラグE,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:白妙もやし
664,アーティストラグF,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:いまさうおさ
665,アーティストラグG,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
666,アーティストラグH,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
667,アーティストラグI,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
668,カリグラ・ショドー,美しい東洋の造形芸術。
【サイズ3×1】
669,カリグラ・ショドーB,美しい東洋の造形芸術。
【サイズ3×1】
670,カリグラ・ショドーC,美しい東洋の造形芸術。
【サイズ3×1】
671,カリグラ・ショドーD,美しい東洋の造形芸術。
【サイズ3×1】
672,カリグラ・ショドーE,美しい東洋の造形芸術。
【サイズ3×1】
673,カリグラ・ショドーF,美しい東洋の造形芸術。
【サイズ3×1】
674,マテリアル・ショドー,美しい東洋の造形芸術。シグキンモチーフ。
【サイズ3×1】
675,マテリアル・ショドーB,美しい東洋の造形芸術。バチキンモチーフ。
【サイズ3×1】
676,マテリアル・ショドーC,美しい東洋の造形芸術。Jackモチーフ。
【サイズ3×1】
677,マテリアル・ショドーD,美しい東洋の造形芸術。マリキンモチーフ。
【サイズ3×1】
678,マテリアル・ショドーE,美しい東洋の造形芸術。フサキンモチーフ。
【サイズ3×1】
679,マテリアル・ショドーF,美しい東洋の造形芸術。シュミタロウモチーフ。
【サイズ3×1】
680,オシャカ・ショドー,美しい東洋の造形芸術。「天上天下唯我独尊」
【サイズ3×1】
681,,
682,,
683,クラス・トロフィー【M】,皆伝試練を突破した者に送られる輝くトロフィー。
【サイズ1×2】
684,クラス・トロフィー【O】,ﾏｻﾞｲﾌﾛﾝﾃｨｱを制覇した者に送られる輝くトロフィー。
【サイズ1×2】
685,クラス・トロフィー【4】,偉業を成し遂げた者に送られる輝くトロフィー。
【サイズ1×2】
686,スノードール,溶けない魔法の雪で作られた氷像。
【サイズ:1×1】
687,,
688,,
689,ネオチータ・アグ,飼育用の虐待羊。何があっても起きない。
【サイズ:1×1】
690,フサーケン・タンク,飼育用のフサーケン。暇そう。
【サイズ:2×2】
691,シャウティング・マリ,飼育用のマリキオス。防音室での飼育を推奨。
【サイズ:1×2】
692,,
693,,
694,ホモビ・ドール,ホモビ型ロボットを忠実に再現したレプリカ。
【サイズ:2×2】
