598,決済,,は決済を完了した！,
599,リバースワールドヘル,,のリバースワールド！,
600,リバースワールド2,,時の流れが元に戻っていく・・・！,
601,ウルシーラ,,はウルシーラを唱えた！,
602,1,,,
603,クラスターバレット,,はクラスターバレットを放った！,
604,本命ガン堀ミサイル,,は一斉にミサイルを放った！,
605,,,,
606,,,,
607,ライフル攻撃,,の攻撃！,
608,クラスターバレット,,はｸﾗｽﾀｰﾊﾞﾚｯﾄを放った！,
609,キャノン,,はキャノン砲を放った！,
610,自動修復,,の自動修復システム！,
611,キャノンｍｓ,,はキャノン砲を放った！,
612,シールド,,の身を守りながら攻撃！,
613,ライフル乱射,,はライフルを乱射した！,
614,gurene-do ,,はグレネードを投げつけてきた！,
615,攻撃銃器,敵単体にダメージを与える。
(会心対応),の攻撃！,
616,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
617,,,,
618,水攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
619,攻撃炎,敵単体にダメージを与える。
(会心対応),の攻撃！,
620,退職,敵キャラの行動用。使用者が戦闘から離脱する。,は突然爆発した！,
621,ウルシーラ,,はウルシーラを唱えた！,
622,本命ガン堀ミサイル,,は一斉にミサイルを放った！,
623,,,,
624,ライフル攻撃,,の攻撃！,
625,クラスターバレット,拡散弾で敵全体を攻撃。確率で怯ませる。
【物:\I[6142]】【ｽﾀﾝ付与(25%)】\C[21]【ｸｰﾙﾀｲﾑ:1】,はクラスターバレットを放った！,
626,肩部85mmロケット砲,肩に携えたロケット砲を敵一体に放つ。
【物:\I[6120]】\C[21]【ｸｰﾙﾀｲﾑ:1】,は肩部85mmロケット砲を放った！,
627,ライフル攻撃,,の攻撃！,
628,,,,
629,ガードシューティング,身を守りながらランダムで5発ライフルを乱射する。
【魔:\I[6125]】\C[21]【ｸｰﾙﾀｲﾑ:1】,の身を守りながら攻撃！,
630,ライフル乱射,,はライフルを乱射した！,
631,マイドニックレーザー,レーザーライフルに換装し、敵一体に放つ。
【魔:\I[6125]】,のﾏｲﾄﾞﾆｯｸﾚｰｻﾞｰ！,
632,会心,,,
633,オランジェットボンボン,先制攻撃ができる。発動後、続けてリロードを行う。
\C[21]【ｸｰﾙﾀｲﾑ:5】\C[0]【先制発動】,はオランジェットボンボンを放った！,
634,マイドニックレーザー,,のﾏｲﾄﾞﾆｯｸﾚｰｻﾞｰ！,
635,カオスマトリシカ敵,ランダムに三発雷撃を叩き込む。,はカオスマトリシカを唱えた！,
636,スナイプ,当たれば会心の一撃。顔が∵のｴﾈﾐｰに大ﾀﾞﾒｰｼﾞ
\C[31]【変化技】,の狙いすました一撃！,
637,攻撃×2,敵単体にダメージを与える。
(会心対応),の攻撃！,
638,電撃乱射,,は見境なく殴りかかった！,
639,雷撃全体,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の咆哮と共に雷撃がほとばしる！,
640,攻撃単発,敵単体にダメージを与える。
(会心対応),の攻撃！,
641,絶叫,,は凄まじい咆哮を放った！,
642,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
643,能力値戻る,,エネルギーダウン！,
644,攻撃→充電,敵単体にダメージを与える。
(会心対応),の攻撃！,
645,ダイナモシャワー→充電,,のダイナモシャワー！,
646,充電→放電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
647,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
648,ヴァニタス攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
649,,,,
650,攻撃銃器,敵単体にダメージを与える。
(会心対応),の攻撃！,
651,落雷痛恨,敵単体にダメージを与える。
(会心対応),の攻撃！,
652,瘴気→睡眠,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の闇の瘴気が暴発する！,
653,睡眠,,の呪念の瞳！,
654,攻撃→乱れ切り,敵単体にダメージを与える。
(会心対応),の攻撃！,
655,乱れ切り,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は乱れ斬った！,
656,ジェネシス→バフキエール,,のマイドニックジェネシス！,
657,ジェネシス,,「殺ス殺ス殺ス！！！！,
658,バフキエール,,はバフキエールを放った！,
659,岩石→乱れ切り,敵単体にダメージを与える。
(会心対応),はガレキを投げつけてきた！,
660,瘴気→CHARGE,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の闇の瘴気が暴発する！,
661,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は急速充電した！,
662,絶叫→スパーク,,は凄まじい咆哮を放った！,
663,すさまじい咆哮,,は凄まじい咆哮を放った！,
664,ヴァニタスイーヴィル,,の咆哮と共に雷撃がほとばしる！,
665,バカチオンソード2,,の目にも止まらぬ乱撃！！,
666,呼無葬連鎖2,,は呼無葬連鎖を放った！,
667,フサ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
668,支援カリバー,究極の一撃で敵一体を粛正する。
\C[21]【ｸｰﾙﾀｲﾑ:3】,はホモビ・カリバーを放った！,
669,ホモビ・カリバー,究極の一撃で敵一体を粛正する。
\C[21]【ｸｰﾙﾀｲﾑ:3】,はホモビ・カリバーを放った！,
670,装甲は解,,,
671,,,,
672,瘴気→睡眠,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の闇の瘴気が暴発する！,
673,攻撃→乱れ切り,敵単体にダメージを与える。
(会心対応),の攻撃！,
674,,,,
675,,,,
676,攻撃→ダマランカ,敵単体にダメージを与える。
(会心対応),の攻撃！,
677,ダマランカ,,はダマランカを唱えた！,
678,攻撃→ソードレーザー,敵単体にダメージを与える。
(会心対応),の攻撃！,
679,サンダーボルト,敵単体にダメージを与える。
(会心対応),はサンダーボルトを放った！,
680,,,,
681,サンダーボルト,敵単体にダメージを与える。
(会心対応),はサンダーボルトを放った！,
682,バフキエール,,はバフキエールを放った！,
683,ライトニングザッパー,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,のライトニングザッパー！,
684,ライトニングザッパー2,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,,
685,リブロキール,,はリブロキールを唱えた！,
686,キャノン呼び,,は信号を送った！,
687,キャノン呼び,,は信号を送った！,
688,ツァーリ自爆１,,の身体が光り輝いた！,
689,ツァーリ自爆２,,は自爆した！,
690,呼び,,ハイホモビキャノン達が あらわれた！,
691,自爆,敵キャラの行動用。使用者が戦闘から離脱する。,は砕け散った！,
692,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
693,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
694,防御,身を守ることに専念し、受けるダメージを抑える。,は身を守っている。,
695,カラミティスコール,\C[10]敵全体を巻き込む爆発を起こす。使用後に攻撃が上昇。
\C[0]【魔:\I[6141]】,はカラミティスコールを放った！,
696,シグマインパクト,\C[10]敵単体に 闇の魔弾を放つ。
\C[0]【魔:\I[6141]】,はシグマインパクトを放った！,
697,ゴッドシグマインパクト,\C[10]敵単体に 闇の魔弾を放つ。
\C[0]【魔:\I[6141]】,はゴッドシグマインパクトを放った！,
698,ダークネスザッパー,\C[10]無情に相手を切り刻み四段攻撃を放つ。
\C[0]【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:1】,はダークネスザッパーを放った！,
699,暗夜心月,\C[10]自身のHPが低いほどダメージが上がる奥義
\C[0]【物:\I[6141]】【即発動】\C[21]【ｸｰﾙﾀｲﾑ:2】 ,は暗夜心月を放った！,
700,Jリブロキール,,,
701,,,,
702,特別席,\C[10]使用ターン鉄壁状態&HP,MPを50%回復。
\C[0]【即発動】\C[21]【ｸｰﾙﾀｲﾑ:4】 ,は特別席を唱えた！,
703,カタス撃破,,カタストロフィをたおした！,
704,Spirits of Hell Flame,\C[10]-ｽﾋﾟﾘｯﾂ･ｵﾌﾞ･ﾍﾙﾌﾚｲﾑ-
決着の時だ。,,
705,,,,
706,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
707,触手,,の触手が無数におそいかかる！,
708,,,,
709,ティンカルビア,\C[10]使用したターンの攻撃の威力が跳ね上がる。
\C[0]【即発動】\C[21]【ｸｰﾙﾀｲﾑ:4】 ,はティンカルビアを唱えた！,
710,闇夜の不屈,\C[10]力尽きた時、一度だけ 全回復して立ち上がる。,「俺はまだ・・・死ねない！！,
711,闇夜の不屈,\C[10]ピンチの時、体力を全回復する。
\C[21]【ｸｰﾙﾀｲﾑ:3】 ,「俺はまだ・・・死ねない！！,
712,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は急速充電した！,
713,,,,
714,究極の暗黒の炎,\C[10]-ｸﾞﾗﾝﾃﾞｨｱ･ｲﾝﾌｪﾙﾉ-
地獄の業火のような怒涛の斬撃を放つ,「究極の暗黒の炎・・・,今ここに 刃と成せ！！
715,コンフェッションルーム,\C[10]使用ターン鉄壁状態&HP,MPを50%回復。
\C[0]【即発動】\C[21]【ｸｰﾙﾀｲﾑ:3】 ,はコンフェッションルームを唱えた！,
716,Grandia Inferno,\C[10]-ｸﾞﾗﾝﾃﾞｨｱ･ｲﾝﾌｪﾙﾉ-
全てを懸けた始まりの一撃。,「これは、俺が俺として生きる為の,始まりの一撃――
717,ふみとまり,,は踏み止まった！,
718,いビルダミー,\C[10]-ｸﾞﾗﾝﾃﾞｨｱ･ｲﾝﾌｪﾙﾉ-
地獄の業火のような怒涛の斬撃を放つ,のイーヴィル･カタストロフ！！,
719,マイドニックストーム,,はマイドニックストームを放った！,
720,イーヴィル・カタストロフ,,はイーヴィル・カタストロフを放った！,
721,最後の一撃,\C[10]-ｸﾞﾗﾝﾃﾞｨｱ･ｲﾝﾌｪﾙﾉ-
地獄の業火のような怒涛の斬撃を放つ,シグマのGrandia Inferno!!,
722,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
723,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
724,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
725,HP0,\C[10]-ｸﾞﾗﾝﾃﾞｨｱ･ｲﾝﾌｪﾙﾉ-
地獄の業火のような怒涛の斬撃を放つ,,
726,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
727,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
728,アルマ･ネメシス,,のアルマ･ネメシス！,
729,ストーム,,,
730,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
731,休み,,は悲痛な叫びをあげている。,
732,,,,
733,触手,,の触手が無数におそいかかる！,
734,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),の指から熱線がほとばしる！,
735,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は急速充電した！,
736,イーヴィル・カタストロフ,,,
737,イーヴィル,,のイーヴィル･カタストロフ！！,
738,イーヴィル,,ジェラルディ「もう一撃ィィ！！,
739,オーバーヒート,,は耐え切れず反動を受けた！,
740,,,,
741,ふみとまり,,の腹部が破壊され、コアが露出した!!,
742,,,,
743,,,,
744,血塗れパーリナイ,敵単体にダメージを与える。
(会心対応),「血塗れパーリナイだぜェ!!,
745,バフキエール,,はバフキエールを放った！,
746,頭カッチンチンチン,,「頭カッチンチンチン！！！,
747,頭プルプルチンチン,,「頭プルプルちんちんちん,ぴょいぃぃぃいいいい～～～～～ん！！！！
748,気持ちいい,,「FOOO気持ちいい～～～！！,
749,お前んち燃やすわ。,敵単体にダメージを与える。
(会心対応),「お前んち 燃やすわ。,
750,お前んち燃やすわ。,敵単体にダメージを与える。
(会心対応),「お前んち 燃やすわ。,
751,不屈,\C[10]ピンチの時、体力を全回復する。
\C[21]【ｸｰﾙﾀｲﾑ:3】 ,の不屈の魂がソウルとリンクした！,
752,,,,
753,Lv.1  OVER+,全能力値+12,,
754,Lv.2 OVER+,全能力値+12,,
755,Lv.3 OVER+,全能力値+12,,
756,Lv.4 OVER+,全能力値+12,,
757,Lv.5 OVER+,全能力値+20,,
758,Lv.1  一閃,会心率+3%,,
759,Lv.2 一閃,会心率+3%,,
760,Lv.3 一閃,会心率+3%,,
761,Lv.1  闘志,反撃率+4%,,
762,Lv.2 闘志,反撃率+4%,,
763,Lv.3 闘志,反撃率+4%,,
764,Lv.1  物欲,APPチャージ率+4%,,
765,Lv.2 物欲,APPチャージ率+4%,,
766,Lv.3 物欲,APPチャージ率+4%,,
767,Lv.1  内面,女子力+3%,,
768,Lv.2 内面,女子力+3%,,
769,Lv.3 内面,女子力+3%,,
770,カタス１,,ジェラル「消してやる！！何もかも！！,「お前の全てを・・・滅ぼしてやる！！
771,カタス２,,シグマ「来いよ。お前の怒り、憎悪・・・,「その全てを・・・俺は 受け入れる。
772,カタス3,,ジェラル「貴様には 明日も未来も 答えも！！,「・・・何もない。
773,カタス４,,ジェラル「ただ虚しく！！彷徨い続けるだけだ！！,
774,カタス５,,シグマ「俺は地獄に堕ちる覚悟を決めた・・・だが。,
775,カタス６,,シグマ「守るべき 人達の為に！,「その覚悟の向こう側へ 超えていく！！
776,カタス７,,ジェラル「そんな・・・そんな身勝手！！,「許される はずが 無い！！
777,カタス８,,ジェラル「貴様は 俺が殺し！！,「地獄より 下へと！！ 堕としてやる！！！！
778,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
779,捕食者攻撃,,の攻撃！,
780,リブロキール,,はリブロキールを唱えた！,
781,エムドレイン,,はエムドレインを唱えた！,
782,詠唱・炎3,,の魔法攻撃！,
783,,,,
784,捕食者攻撃,,の攻撃！,
785,捕食者攻撃,,の攻撃！,
786,,,,
787,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
788,エムサクション,,はエムサクションを唱えた！,
789,,,,
790,捕食者攻撃,,の攻撃！,
791,リブロキール,,はリブロキールを唱えた！,
792,,,,
793,詠唱・炎3,,の魔法攻撃！,
794,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
795,,,,
796,全員死ぬ攻撃,,,
797,,,,
798,Welcome to the darkness world,\C[10]-ｳｪﾙｶﾑ･ﾄｩ･ｻﾞ･ﾀﾞｰｸﾈｽﾜｰﾙﾄﾞ-
封じた闇のチカラを解放する。\C[0]【3ターン持続】【後攻】,「さあ・・・始めよう！,
799,テスト暗黒,\C[10]全てを破壊する死神となる。,「さあ・・・始めよう！！」,
800,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
801,ちゃーじ,,のマイドニックバスター！,
802,マイドニックバスター,,キリミ「耐えてね～！,
803,マイドニックレーザー,,のマイドニックレーザー！,
804,,,,
805,オボレナ,水をぶっかけて通常攻撃
【魔:\I[6121]】,はオボレナを唱えた！,
806,イカスミ,,はスミを吹きかけてきた！,
807,デストロイア,敵味方全員に 超ダメージを叩き込む。,はレントーデストロイアを放った！,
808,逃げる,敵キャラの行動用。使用者が戦闘から離脱する。,はどこかへ行ってしまった。,
809,充電→放電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
810,マイドニックレーザー単発,,のマイドニックレーザー！,
811,詠唱・氷3,,の魔法攻撃！,
812,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
813,攻撃闇,敵単体にダメージを与える。
(会心対応),の攻撃！,
814,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
815,絶叫,,は絶叫した！,
816,詠唱・炎4,,の魔法攻撃！,
817,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
818,カラマール,糸を吐き出し敵一体を確率でスタンさせる。
【先制】【ｽﾀﾝ付与(40%)】,はカラマールを放った！,
819,敵チェーンプリズン,鎖を敵全体にからませて攻撃
【物:\I[6142]】【ｽﾀﾝ付与(30%)】,のチェーンプリズン！,
820,毒全体攻撃,敵単体にダメージを与える。
(会心対応),は猛毒を撒き散らした！,
821,変身・過ちの霊廟,,は姿を解き放った！,
822,棺攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
823,攻撃刀,敵単体にダメージを与える。
(会心対応),の攻撃！,
824,攻撃イカ,敵単体にダメージを与える。
(会心対応),の攻撃！,
825,攻撃イカ,敵単体にダメージを与える。
(会心対応),の攻撃！,
826,ドシコマイド,聖なる呪文で味方全員のHPを250回復する。
,,「まいどまいどまいどあああああああああ！！
827,会心斧攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
828,,,,
829,カラマール,糸を吐き出し敵一体を確率でスタンさせる。
【先制】【ｽﾀﾝ付与(40%)】,はカラマールを放った！,
830,,,,
831,,,,
832,トゥルーンパンチ,全体攻撃,のトゥルーンパンチ！,
833,ヘビープレス,,は激しく拳で地面を打ち鳴らした！,
834,,,,
835,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
836,トゥルーンパンチ,全体攻撃,のトゥルーンパンチ！,
837,,,,
838,地ならし,,は激しく拳で地面を打ち鳴らした！,
839,ポヤシミー,,はポヤシミーを唱えた！,
840,,,,
841,トゥルーンパンチ,全体攻撃,のトゥルーンパンチ！,
842,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
843,,,,
844,アモーレパンチ,全体攻撃,はアモーレパンチを放った！,
845,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
846,,,,
847,地ならし,,は激しく拳で地面を打ち鳴らした！,
848,ラヴマシンガン,敵を選ばず怒涛の五連撃。,はラヴ・マシンガンを放った！,
849,,,,
850,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
851,ラヴマシンガン,敵を選ばず怒涛の五連撃。,はラヴ・マシンガンを放った！,
852,,,,
853,boss攻撃2,敵単体にダメージを与える。
(会心対応),の攻撃！,
854,サイクロ光線,,はサイクロ光線を放った！,
855,,,,
856,パワードリル,,はパワードリルを放った！,
857,boss攻撃2,敵単体にダメージを与える。
(会心対応),の攻撃！,
858,,,,
859,boss攻撃2,敵単体にダメージを与える。
(会心対応),の攻撃！,
860,,,,
861,,,,
862,ダマランカ,,はダマランカを唱えた！,
863,本命ガン堀ミサイル,,は一斉にミサイルを放った！,
864,,,,
865,義理ガン堀ミサイル,,のガンボリミサイル！,
866,ｷｭｰﾃｨｰﾊﾞﾚﾝﾀｲﾝ,,のバレンタインクラッシュ！,
867,,,,
868,義理ガン堀ミサイル,,の義理ガン堀ミサイル！,
869,,,,
870,ｷｭｰﾃｨｰﾊﾞﾚﾝﾀｲﾝ,,のバレンタインクラッシュ！,
871,,,,
872,スパーリングボム,全体攻撃,のスパーリングボム！,
873,クレオパトラ,,,「クレオパトラって国じゃないの？
874,,,,
875,詠唱・水3,,の魔法攻撃！,
876,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
877,カエシタラー,,はカエシタラーを唱えた！,
878,,,,
879,boss攻撃3,敵単体にダメージを与える。
(会心対応),の攻撃！,
880,boss攻撃3,敵単体にダメージを与える。
(会心対応),の攻撃！,
881,,,,
882,boss攻撃3,敵単体にダメージを与える。
(会心対応),の攻撃！,
883,詠唱・氷3,,の魔法攻撃！,
884,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
885,,,,
886,スパーリングボム,全体攻撃,のスパーリングボム！,
887,ドマイド,聖なる呪文でHPを200回復する。
対象:\C[6]【使用者】,「まいどまいどまいどああああ！！,
888,,,,
889,boss攻撃3,敵単体にダメージを与える。
(会心対応),の攻撃！,
890,詠唱・雷4,,の魔法攻撃！,
891,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
892,マイドニックバスターサテライト,,はマイドニックバスターを放った！,
893,,,,
894,充電→放電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
895,,,,
896,リバースワールド,,のリバースワールド！,
897,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
898,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
899,,,,
900,リバースワールド2,,時の流れが元に戻っていく・・・！,
901,ダイナモシャワー→充電,,のダイナモシャワー！,
902,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
903,シャケブレイク,,はシャケブレイクを放った！,
904,ネハンフラッシュ,,はネハンフラッシュを放った！,
905,バフキエール,,はバフキエールを放った！,
906,詠唱・切身,,の魔法攻撃！,
907,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
908,,,,
909,マイドニックレイ連射,敵単体にダメージを与える。
(会心対応),はﾏｲﾄﾞﾆｯｸﾚｲ・ﾀﾞﾌﾞﾙを放った！,
910,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
911,ウルシーラ,,はウルシーラを唱えた！,
912,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
913,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
914,,,,
915,シャケブレイク,,はシャケブレイクを放った！,
916,詠唱・切身,,の魔法攻撃！,
917,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
918,,,,
919,バフキエール,,はバフキエールを放った！,
920,詠唱・切身,,の魔法攻撃！,
921,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
922,リバースワールド,,のリバースワールド！,
923,,,,
924,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
925,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
926,リバースワールド2,,時の流れが元に戻っていく・・・！,
927,雷撃全体,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の咆哮と共に雷撃がほとばしる！,
928,,,,
929,キャノン呼び,,はテスター･J に信号を送った！,
930,キャノン呼び,,はテスター･J に信号を送った！,
931,呼び,,テスター･J 達が あらわれた！,
932,メメント・スクリーム,,はメメント・スクリームを放った！,
933,,,,
934,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
935,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
936,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
937,カタス撃破,,ｼﾐｭﾚｰﾄ･ｶﾀｽﾄﾛﾌｨをたおした！,
938,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
939,マイドニックレイ,敵単体にダメージを与える。
(会心対応),はマイドニックレイを放った！,
940,アルマ･ネメシス,,のアルマ･ネメシス！,
941,ストーム,,,
942,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
943,バフキエール,,はバフキエールを放った！,
944,マイドニックレイ連射,敵単体にダメージを与える。
(会心対応),はﾏｲﾄﾞﾆｯｸﾚｲ・ﾀﾞﾌﾞﾙを放った！,
945,触手,,の触手が無数におそいかかる！,
946,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
947,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は急速充電した！,
948,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
949,バフキエール,,はバフキエールを放った！,
950,断罪剣,物理攻撃を受けると 会心カウンターを放つ。
【先制】\C[21]【ｸｰﾙﾀｲﾑ:1】,は断罪剣の構えをとった！,
951,秘剣・鍵穴,高速の居合斬りで 敵の守りを砕く。
【物:\I[6142]】【防御弱体付与(50%)】,は秘剣・鍵穴を放った！,
952,呼無葬連鎖,ランダムに三度 斬撃を叩き込む。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:2】,は呼無葬連鎖を放った！,
953,不鎖珍宝一本突,目にも とまらぬ速さで 先制攻撃。
【物:\I[6142]】【先制】【ｽﾀﾝ付与(30%)】,は不鎖珍宝一本突を放った！,
954,墓薙阿弥陀,塔婆で敵全体を攻撃。APPを多く取得できる。
【物:\I[6142]】,は墓薙阿弥陀を放った！,
955,弩布羅明剛,疾風のごとく懐に潜り込み一刀両断。会心時 威力2倍
【物:\I[6142]】,は弩布羅明剛を放った！,
956,ホモビ・カリバー,究極の一撃で敵一体を粛正する。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:6】,はホモビ・カリバーを放った！,
957,,,,
958,フサ反撃,斬りつけた相手の防御力を下げることがある。,はフサ反撃を放った！,
959,状態異常回復,,,
960,暗黒世界攻撃,,,
961,ヘルフレイム・カリバー,\C[10]APPが多い程 威力が上昇する 最終奥義。
\C[0]【物:\I[6142]】【APP全消費】【暗黒世界解除】,「これが最後だ！！,
962,死神化解除,,は力を使い果たした！,
963,詠唱・氷3,,の魔法攻撃！,
964,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
965,暗黒世界攻撃,,,
966,,,,
967,アブゲロ2,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,,
968,あぶゲロ3,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,のアブソリュート・ゲロ！！,
969,,,,
970,ヒット数に応じて変数を格納,,,
971,,,,
972,狂乱の宴2,\C[10]敵全体を巻き込む大爆発を起こす。
使用後、自身の攻撃力が上昇する。,,
973,狂乱の宴3,,,
974,ラップ,絶望的なダンスで自身含め敵味方全員が馬鹿になる。,「Here we go! oh,ラップだぜ oh yeah BEAT刻むぜラップ yeah
975,キメキメハリケーン敵,敵一体に危ない薬で攻撃。
ヤク漬の敵に対して威力が3倍になる。,はキメキメハリケーンを放った！,
976,,,,
977,Liberation sever,\C[10]-ﾘﾍﾞﾗｼｵﾝ･ｾｲﾊﾞｰ-
解放の装を纏い、3ターン後 被弾数に応じた一撃を放つ。,,
978,鎖断無双,\C[10]解放の装を解き、被弾数が多い程 強力な一撃を放つ。
\C[0]【物:\I[6142]】【解放の装解除】【被弾数:\V[227]】,,
979,イーヴィル,,はイーヴィル･カタストロフを放った!,
980,イーヴィル,,ジェラルディ「もう一撃ィィ！！,
981,オーバーヒート,,は耐え切れず反動を受けた！,
982,Dangerous gaiji,\C[10]-ﾃﾞﾝｼﾞｬﾗｽ･ｶﾞｲｼﾞ-
体力を大幅に回復し、マジギレ覚醒に突入する。,の気が覚醒する！,
983,おちちんフラッシュ敵,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,のおちちんフラッシュ！,
984,おちちんフラッシュ敵,,,
985,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
986,,,,
987,ブカブカパンツラッシュ敵,敵を選ばず危険な五連撃。,はﾌﾞｶﾌﾞｶﾊﾟﾝﾂﾗｯｼｭを放った！,
988,ボンボコクロー敵,相手を引き裂く。当たれば会心の一撃。,の狙いすました一撃！,
989,,,,
990,クソナエール,敵全体の攻撃力を下げる。,はクソナエールを唱えた！,
991,クソナエール,敵全体の攻撃力を下げる。,はクソナエールを唱えた！,
992,ブカブカパンツラッシュ敵,敵を選ばず危険な五連撃。,はﾌﾞｶﾌﾞｶﾊﾟﾝﾂﾗｯｼｭを放った！,
993,,,,
994,ボンファイアー,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
995,クソナエール,敵全体の攻撃力を下げる。,はクソナエールを唱えた！,
996,,,,
997,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
